Method,FF,SS,PP,FS,SP,FP,All
5,[0.3264944290455439],[0.4228853608495022],[0.5067313442753671],[0.1672291391901997],[0.22328513139189865],[0.035761562337511946],[0.25636287200686647]
10,[0.31170643682970617],[0.4157197732434938],[0.5394511263206858],[0.155405740795795],[0.25655051345085406],[0.04225767851831332],[0.23986700137293193]
15,[0.3398388837879709],[0.4246060977056354],[0.5367001129643165],[0.16555106206163303],[0.2522635406960288],[0.04221907873674268],[0.2631088421526944]
20,[0.3420337035559356],[0.4172647752717666],[0.5129244468070968],[0.1590725314679492],[0.2364863360694057],[0.03323895308310079],[0.263245803134972]
25,[0.3292300731719905],[0.4226759435129685],[0.5476510067114094],[0.16077889679238547],[0.24696206919581098],[0.047772906132142946],[0.2526244563086916]
30,[0.34594618148643874],[0.4301285646711489],[0.5496843644095953],[0.17889882059572806],[0.26006786646779523],[0.045568177431843],[0.26468532799059663]
35,[0.33086490794705853],[0.43232525001940403],[0.5387467605820985],[0.1767425128351017],[0.2573551159040965],[0.041242731320543936],[0.2515480970124687]
40,[0.5627240364905011],[0.5587811032339601],[0.6663166987839724],[0.4019592511207196],[0.41309498443269166],[0.2333969851300018],[0.45237683930897976]
45,[0.636323123702601],[0.5988471795292357],[0.683287926108047],[0.46853365201142416],[0.456960129245232],[0.3187887842658208],[0.5221147440082968]
50,[0.6983182834791138],[0.6099067580292511],[0.6688816532659977],[0.5165808858261728],[0.4729472301640053],[0.3545866758095169],[0.5761718997741578]
55,[0.7068150977145998],[0.6196893301134808],[0.6243737125390392],[0.5423279477234141],[0.4386959715813141],[0.34308167032607734],[0.587216209898519]
60,[0.7516689067096524],[0.6388473552640636],[0.6755531929031829],[0.6041920971320573],[0.4553636453261502],[0.39780480771632337],[0.6344996107106811]
65,[0.7655819996347117],[0.6300459693020545],[0.6530932287859659],[0.5931143328816117],[0.4272407224248746],[0.3470279303478294],[0.6385068142241304]
70,[0.8455439626849736],[0.7485117456765571],[0.698026446939996],[0.7381329683978153],[0.5966015882152773],[0.5448200228419884],[0.7596268319097647]
75,[0.8551882516879128],[0.7401833792928724],[0.6820785434248123],[0.7371103234301519],[0.5634856777583076],[0.5234175792487574],[0.7635185170644022]
80,[0.8574198475122543],[0.7362103077263281],[0.6849890358163333],[0.7421781804071685],[0.5817148527068671],[0.5403174718505417],[0.76979667560814]
85,[0.8638519488683019],[0.7542114119268298],[0.7220280417303475],[0.7527867875978145],[0.6355627923839449],[0.5730251102931994],[0.7795636395923848]
90,[0.8641980764577303],[0.767685879853027],[0.7002724433517177],[0.7574255179808846],[0.6236146049656375],[0.5717286117475029],[0.7827961905820373]
95,[0.8704333177472904],[0.7580248576914008],[0.68622499833876],[0.7629251702495713],[0.61024484720504],[0.5681660789660707],[0.7871153691664738]
100,[0.8881006588476856],[0.8153158760307946],[0.7302545019602631],[0.803055445397644],[0.6900881246402346],[0.6350277123725924],[0.8228979735814799]
105,[0.8904935748521],[0.8175682107412056],[0.7552528407203136],[0.8064596362138011],[0.7081010428029424],[0.6422753890063281],[0.8270608626216416]
110,[0.891525776770574],[0.8255348562708776],[0.7446341949631204],[0.8092569651676236],[0.7055091416195726],[0.6430269494592624],[0.8296321653848407]
115,[0.8852809551638064],[0.8115551507145817],[0.7337231709748157],[0.8003963549859012],[0.6923238381763193],[0.6349437010832916],[0.8216536974029057]
120,[0.8828772226722225],[0.8201720151073374],[0.7331782842713802],[0.8013501475522972],[0.6954468405837662],[0.6293898736878912],[0.8220349834891799]
125,[0.885117162643809],[0.8157332462469631],[0.750069772077879],[0.7997126346291284],[0.6904729345091766],[0.6364672571676389],[0.8223634180387429]
130,[0.8816682484491475],[0.8124470049659733],[0.7524752475247525],[0.7990235768769085],[0.7010504355348062],[0.6399662138382487],[0.8209169469811505]
135,[0.8841035032747687],[0.8116166579043329],[0.7762509136819722],[0.7988533139621461],[0.6975648849863726],[0.6434152178503555],[0.8218669156024381]
140,[0.877220199882502],[0.8189799471916842],[0.7678383945777129],[0.7933696738798008],[0.6971037491930123],[0.6368123846263882],[0.8175628374570619]
145,[0.8817387101369955],[0.820983324229293],[0.7783905907369261],[0.7967765333936815],[0.7028409145117844],[0.642511528846525],[0.8221305692684321]
150,[0.8826200993200756],[0.817707334146595],[0.7744567745365141],[0.8001417612230748],[0.6902089740205635],[0.6413717000024977],[0.8222870098170975]
