image_path,prompt
/media/ee303/4TB/SoftREPA/celeb_imgs/00901.png,"A white boy in 3.7 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/01264.png,"A white girl in 10.8 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/06098.png,"A asian boy in 5.1 years old, turned his head to his left and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/08281.png,"A middle eastern man in 53.7 years old, turned his head to his right and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/08788.png,"A latino hispanic woman in 21.9 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/08851.png,"A white man in 37.5 years old, turned his head to his right and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/10771.png,"A white boy in 20.0 years old, turned his head to his right over the shoulder and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/11689.png,"A black girl in 4.4 years old, turned her head to her left and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/18327.png,"A middle eastern man in 58.7 years old, turned his head to his right and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/19511.png,"A black girl in 15.1 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/22578.png,"A white man in 49.6 years old, facing forward and tilted up"
/media/ee303/4TB/SoftREPA/celeb_imgs/34318.png,"A white woman in 26.2 years old, turned her head to her left and tilted down"
/media/ee303/4TB/SoftREPA/celeb_imgs/35724.png,"A white boy in 17.9 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/35751.png,"A white man in 33.6 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/43216.png,"A white girl in 10.3 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/45530.png,"A white woman in 65.3 years old, turned her head to her right and tilted down"
/media/ee303/4TB/SoftREPA/celeb_imgs/47674.png,"A asian boy in 3.4 years old, facing forward and tilted down"
/media/ee303/4TB/SoftREPA/celeb_imgs/48337.png,"A asian girl in 9.7 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/49671.png,"A white man in 51.8 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/50589.png,"A asian woman in 28.0 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/51293.png,"A white woman in 40.6 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/55793.png,"A white boy in 9.1 years old, turned his head to his left and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/58151.png,"A asian boy in 5.7 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/61197.png,"A asian man in 36.9 years old, facing forward and looking straight"
/media/ee303/4TB/SoftREPA/celeb_imgs/64394.png,"A latino hispanic girl in 5.4 years old, facing forward and looking straight"
